,Title,Abstract,Keywords,Conclusion,Authors,References
0,Cloud-Based Technology Can Revolutionise Operational  Planning At Reduced Change Management Cost,"integrated business planning (ibp) has evolved from the sales and operations planning (s&op) process as a methodology for assessing and optimising financial performance of operational plans. however, despite the engagement of finance in the planning processes, many ibp implementations have suffered the same engagement and sponsorships challenges as s&op. this paper examines implementation from the perspective of using a “change vehicle” – technology – as a tool to both lower the barriers to change and provide participants with the momentum to move thought the change steps of: creating a sense of urgency, providing a guiding coalition, enlisting volunteers, enabling action and generating short-term wins around a strategic vision and instituting change. we examine the sap cloud product ibp through the lens of change management and its potential to overcome the barriers observed in traditional ibp and s&op implementations. a key finding from the analysis in this work is that the standard spreadsheet user interface provided by the solution in effect removes the need to transition users from the comfort zone of using spreadsheets to a new solution space. the implications of this work are that s&op and ibp may be implemented using the sap ibp cloud solution at reduced management time cost to an organisation, facilitating improved operational outcomes using more junior leveraging operational teams than was previously possible under traditional business process re-engineering.",process,,"dr. david paynter centre for transformative innovation swinburne university of technology, australia dpaynter@swin.edu,au",
1,Green Lean Practices And Reverse Logistics: Evidence From  Manufacturing Industry Of A Developing Economy,"the past literature has seen considerable growth in lean and green concepts in the context of developed countries. however, despite the increasing interdependencies between developing and developed economies, little is known in the context of developing economies. this study investigates the impact of green and lean practices, and reverse logistics on organizational performance in the context of a developing economy. we employ a quantitative research design, where a sample of 170 responses was generated from senior managers of manufacturing firms in pakistan – a developing economy. the analysis uncovers those green practices have a significant positive nexus with organizational performance in a developing economy like pakistan. further, we find that lean practices and reverse logistics serially mediate the relationship between green practices and organizational performance. we thus suggest green practices, lean practices, and reverse logistics as key levers to enhance performance and gain a competitive advantage for the firms in the developing economy like pakistan. this is among the few studies testing serial mediation of lean practices and reverse logistics between green practices and organizational performance. the findings offer numerous contributions to both theory and practice.","green practices, lean practices, reverse logistics",,"muhammad junaid ahsan phd scholar, department of economics and management university of pisa, pisa, italy m.ahsan@studenti.unipi.it muhammadjunaid0803@gmail.com muhammad hasham khalid department of management sciences riphah international university, islamabad, pakistan hasham091@gmail.com dr anas iftikhar lancaster university management school, lancaster university, uk a.iftikhar@lancaster.ac.uk","References  
Agrawal, S., Singh, R. K., and Murtaza, Q., A literature review and perspectives in reverse logistics. Resources, 
Conservation and Recycling, 97, 76-92, 2015. 
Alhuraish, I., Robledo, C., and Kobi, A., Impacts of lean manufacturing and six sigma, 2016. 
Azevedo, S. G., Carvalho, H., and Machado, V. C., The influence of green practices on supply chain performance: A 
case study approach. Transportation research part E: logistics and transportation review, 47(6), 850-871, 2011.  
Bashir, A. M., Suresh, S., Proverbs, D., and Gameson, R., A critical, theoretical, review of the impacts of lean 
construction tools in reducing accidents on construction sites. Paper presented at the Proceedings of 27th Annual 
ARCOM Conference, Bristol, UK, Association of Researchers in Construction Management, 2011. 
Beleya, P., Bakar, M. A. A., and Chelliah, M. K., Impact of reverse logistics in the malaysian electrical and electronics 
industry. Int. J Sup. Chain. Mgt, 6(3), 91, 2017. 
Buehlmann, U., and Fricke, C. F., Benefits of Lean transformation efforts in small-and medium-sized enterprises. 
Production and Manufacturing Research, 4(1), 114-132, 2016.  
Buer, S.-V., Semini, M., Strandhagen, J. O., and Sgarbossa, F., The complementary effect of lean manufacturing and 
digitalisation on operational performance. International Journal of Production Research, 59(7), 1976-1992, 2021.  
Çankaya, S. Y., and Sezen, B., Effects of green supply chain management practices on sustainability performance. 
Journal of Manufacturing Technology Management, 2019. 
Carvalho, H., Azevedo, S. G., and Cruz-Machado, V., Supply chain performance management: lean and green 
paradigms. International Journal of Business Performance and Supply Chain Modelling, 2(3-4), 304-333, 2010. 
Chinda, T., Examination of factors influencing the successful implementation of reverse logistics in the construction 
industry: pilot study. Procedia engineering, 182, 99-105, 2017. 
Chiu, J.-Z., and Hsieh, C.-C., The impact of restaurants’ green supply chain practices on firm performance. 
Sustainability, 8(1), 42, 2016. 
Cousins, P. D., Lawson, B., Petersen, K. J., and Fugate, B., Investigating green supply chain management practices 
and performance. International Journal of Operations and Production Management, 2019. 
10
10"
2,Research Of The Impacts On The Hong Kong Office Property  Market From Covid19,"the widespread impacts of covid19 to the market and the minds of the practitioners can be deduced. the current study provides a timely investigation of the impacts of the global pandemic on the office property market so that the proper recommendations on construction management can be given to policymakers and market practitioners. essentially, as the property price has a lagged effect after a significant event, the expectation of the practitioners in the property industry would be consulted. the current study provides a timely investigation of the impacts of the global pandemic on the office property market so that the proper recommendations on construction management can be given to policymakers and market practitioners. the composition of the office property price, the price model of housing property was adopted in the current study. along with the customisation of the factors with respect to the pricing application of the office property, the theoretical model for the office property price was developed.","covid19, property, market","& Recommendation with the title of 29. Recommendations. Therefore, with respect to the evaluation of the accomplishment of the objectives, it can be seen that all five of them were responded, while the aim of “prioritising the major influencers of the property price resulting from the Covid19 event in the mind of the practitioners so that proper advice can be generated to the policymakers and the market practitioners” was accomplished, so it was justifiable to claim the completion of the research project.","tong sabrina master of real estate and construction the hong kong polytechnic university, hong kong ssabrina.tong@connect.polyu.hk",
3,Accelerating A Commercialization Of The Innovation  Technology Using Early Supply Chain Integration: A Case,"in most cases, many technology products resulting from research happened to fail to be launched to the market due to the valley of death. this obstacle usually occurs in the transition process between technology development and technology commercialization. hence, critical action is needed to accelerate the technology commercialization to ensure the commercialization potency of research output does not fall into the valley of death. the innovation of the electric motorcycle swap battery (emsb) technology encourages the formation of a new ecosystem at the early of the supply chain, including technopreneurs and startups from manufacturers, suppliers, and distributors for commercialization. swappable batteries (sb), electric motorcycle (em), and battery swap/charging station (bscs) are key components of emsb that have attracted the attention of supply chain players and government to find a thriving solution to enable faster adoption and diffusion of emsb in indonesia. previously, the center of excellence for electrical energy storage technology, universitas sebelas maret (or coe-eest uns) has developed sb, em, and bscs prototypes with limited systems to operate the emsb. however, to transfer technological innovations and/or facilitate operations of the emsb on a large scale, there are various challenges and problems with products, processes, innovations, and businesses that are required to be solved. there are five interventions/models that were proposed by coe-eest uns, namely circular business for emsb, innovation diffusion and adoption, technology readiness and economic benefits prediction, location-allocation for smart charging, and internet of things based decision support system for distributing emsb, and the technical requirements for interoperable of emsb. the interventions/models are seen as alternatives to accelerate the downstream of emsb technology innovation, and then maximize the economic benefits of a green economy in indonesia.",green economy,,"study the electric motorcycle swap battery in indonesia wahyudi sutopo 1)university centre of excellence for electrical energy storage technology 2)research group industrial engineering and techno-economic, industrial engineering department, faculty of engineering, universitas sebelas maret, jl. ir. sutami, 36 a, surakarta, indonesia wahyudisutopo@staff.uns.ac.id",
4,"Quality Of Customer Service, Lean Service And Agility Tools  In The Contact Center Of Companies From The","in recent years, the telecommunications sector has become an important sector in the world, with globalization and the increase of technologies, people increasingly seek to be connected to the internet and to obtain network services that meet their requirements. it is for this reason that companies are focusing their objectives to achieve a higher level of user satisfaction by implementing various tools. one of the methodologies that has helped certain companies to increase their level of user satisfaction by focusing their processes on the elimination of muda and other activities that do not generate value. that is why this research focuses on implementing the lean methodology focused on services and combining it with agility, in order to insert a culture of employee participation and commitment from the beginning of the project. when reviewing different articles, it was found that there are few articles that combine these two methods in telephone operators or that even use any of them. according to the results obtained by the case studies, it is expected a reduction in call waiting time, reduction in the resolution time of customer requests, increase in the performance index of the customer service process and reduction of rework that does not add value to the processes.","lean service, agile, telecom",,"telecommunications sector: a review of the literature angie sofía mautino-guadalupe and josely luzmila fernández-damián faculty of engineering and architecture, university of lima, lima, perú 20202404@aloe.ulima.edu.pe, 20142786@aloe.ulima.edu.pe martín collao-díaz and juan carlos quiroz-flores faculty of engineering and architecture, university of lima, lima, perú research professors mcollao@ulima.edu.pe and jcquiroz@ulima.edu.pe",
5,A Supply Chain Analytics For The Electric Motorcycle  Business With Swappable Battery System – A Descriptive,"internet of things (iot) and big-data analytics imply the development of supply chain analytics (sca). despite industries recognizing sca's potential benefits, its utilization is not massive yet. the study aims to develop reports based on the descriptive-analytic task of sca for the electric motorcycle business with a swappable battery system. there are two goals: 1) exploration of the business process and the data generated by iot from the electric motorcycle industry, and 2) generating descriptive analytics for minimum attribute data from the company to get insights about swap transactions at their battery swap station locations. we used general questions that usually will be answered by the descriptive-analytic task for generating some visualizations of the data. as a result, the company knows that about 60% of the battery swap stations have transactions below the average, peak time at 7-10 am and 1-6 pm, and most of the transactions are conducted on thursday and friday. the other result is that there are five questions or decisions that the company should deeply review.",internet of things,,"analytic from the iot data yusuf priyandari a doctoral student at the industrial engineering department, faculty of engineering, universitas sebelas maret, surakarta, indonesia. priyandari@ft.uns.ac.id wahyudi sutopo and fahrina fahma industrial engineering department, faculty of engineering, universitas sebelas maret, surakarta, indonesia wahyudisutopi@staff.uns.ac.id, fakhrinafahma@staff.uns.ac.id muhammad nizam electrical engineering department, faculty of engineering, universitas sebelas maret, surakarta, indonesia centre of excellence for electrical energy storage technology, universitas sebelas maret, surakarta, indonesia muhammad.nizam@staff.uns.ac.id hendro wicaksono jacobs university bremen, campus ring 1, bremen, 28759, germany h.wicaksono@jacobs-university.de","References  
Ageron, B., Bentahar, O., & Gunasekaran, A., Digital supply chain: challenges and future directions, Supply Chain 
Forum, vol. 21, no. 3 , pp.133–138. , 2020. https://doi.org/10.1080/16258312.2020.1816361 
Andryanto, S. D., Kementerian Perindustrian: Target Motor Listrik 2025 Terpenuhi 1,76 Juta Unit, Tempo.Co. , 
2022. https://otomotif.tempo.co/read/1445120/kementerian-perindustrian-target-motor-listrik-2025-terpenuhi-
176-juta-unit/full&view=ok 
Bi, Z., Xu, L. D., & Wang, C., Internet of things for enterprise systems of modern manufacturing, IEEE Transactions 
on Industrial Informatics, vol. 10, no. 2 , pp.1537–1546. , 2014. https://doi.org/10.1109/TII.2014.2300338 
Büyüközkan, G., & Göçer, F., Digital Supply Chain: Literature review and a proposed framework for future research, 
Computers in Industry, vol. 97, , pp.157–177. , 2018. https://doi.org/10.1016/j.compind.2018.02.010 
Cao, G., & Duan, Y., The affordances of business analytics for strategic decision-making and their impact on 
organisational performance, Pacific Asia Conference on Information Systems, PACIS 2015 - Proceedings. , 
2015. 
Chae, B. K., & Olson, D. L., Business analytics for supply chain: A dynamic-capabilities framework, International 
Journal of Information Technology and Decision Making, vol. 12, no. 1 , pp.9–26. , 2013. 
https://doi.org/10.1142/S0219622013500016 
Davenport, T. H., & Harris, J. G., Competing on analytics: the new science of winning, In Choice Reviews Online 
(Vol. 44, Issue 11). , 2017. https://doi.org/10.5860/choice.44-6322 
De Nardis, L., Mohammadpour, A., Caso, G., Ali, U., & Di Benedetto, M.-G., Internet of Things Platforms for 
Academic Research and Development: A Critical Review, Applied Sciences, vol. 12, no. 4 , pp.2172. , 2022. 
https://doi.org/10.3390/app12042172 
Erl, T., Khattak, W., & Buhler, P., Big Data Fundamentals: Concepts, Drivers & Techniques, Prentice Hall. , 2016. 
Farooq, M. U., Waseem, M., Mazhar, S., Khairi, A., & Kamal, T., A Review on Internet of Things (IoT), International 
Journal of Computer Applications, vol. 113, no. 1 , pp.1–7. , 2015. 
financesonline, What Is Business Analytics? Definition, Importance & Examples, Financesonline.Com. , 2022. 
https://financesonline.com/what-is-business-analytics/ 
Gómez-Chabla, R., Real-Avilés, K., Morán, C., Grijalva, P., & Recalde, T., IoT Applications in Agriculture: A 
Systematic Literature Review, Advances in Intelligent Systems and Computing, vol. 901, , pp.68–76. , 2019. 
https://doi.org/10.1007/978-3-030-10728-4_8 
Hassan, N. R., The origins of business analytics and implications for the information systems field, Journal of Business 
Analytics, vol. 2, no. 2 , pp.118–133. , 2019. https://doi.org/10.1080/2573234X.2019.1693912 
IOT Analytics, IoT Platforms Market Report 2021–2026. , 2021. https://iot-analytics.com/ 
59"
6,Distribution Process Model Based On Lean Manufacturing  And Bpm To Reduce Costs In Smes In The Craft Brewing,"the purpose of this work is to provide information on cost improvements in smes in the brewing sector using lean manufacturing and bpm. a simulation model was created using arena and bizagi, where the model was made with the provision of a small brewing company, the indicators used to measure the effectiveness of the model are: distribution cost per bottle, percentage of use of containers, lead time and otif, these indicators seek to provide us with the necessary data to validate the process. this document shows us a more complete vision of the use of these tools and the result of their use. it will contribute to academic and professional work on lean manufacturing and bpm in small companies.","lean manufacturing, bpm, data analysis","Through the implementation of Lean Manufacturing tools, the average service time in Oxapampa was reduced, with an improvement of 27%, streamlining the process. In addition, the standardization of the work used helped us reduce service times, greatly reducing errors that could affect the quality of our products and services. 68","sector santiago portugal-nemotto y frans rojas-salas facultad de ingeniería y arquitectura, universidad de lima, perú 20172493@aloe.ulima.edu.pe, 20172580@aloe.ulima.edu.pe martin collao-díaz research professor facultad de ingeniería y arquitectura, universidad de lima, perú mcollao@ulima.edu.pe","References 
Aguilar Pesantez, Jennifer Gianella; Morales Pacheco, Wendy; Rojas Bateca, Juan Camilo. Mejora en el Proceso 
de Gestión de Envases de Cerveza en Bodemax. Director/a: ROSA LÓPEZ, José Antonio de la. Trabajo de Fin 
de Máster, EAE. 2020. 
Álvarez, 
J. 
I. 
, 
La 
cerveza 
ya 
aporta 
el 
1,3% 
del 
PIB 
español. 
elEconomista.es. 
https://www.eleconomista.es/distribucion/noticias/9850975/04/19/La-cerveza-ya-aporta-el-13-del-PIB-
espanol.html, 2019. 
López, E. , Cervezas artesanales cerrarían el 2021 con un 0,2% de participación en el mercado. La Cámara. 
https://lacamara.pe/cervezas-artesanales-cerrarian-el-2021-con-un-02-de-participacion-en-el-mercado/, 2022. 
Naranjo Herrera, J. GTesis. Recuperado a partir de http://repositorio.ug.edu.ec/handle/redug/14056. ,2016.  
Condor, H. C. J., Implementación de las herramientas Lean Manufacturing para la gestión de un almacén frigorífico 
de un operador logístico. Repositorio Usil. , 2018. https://repositorio.usil.edu.pe/items/1f64ec95-91cd-4e4b-
941d-c11d3f39be65 
Aplicación De Herramientas Lean Para La Mejora Del Sistema De Gestión Operativa Del Centro De Distribución 
De Almacenes Corona S.A.S Ubicado En Cali. Recuperado de: https://hdl.handle.net/10901/17829., 2019. 
Maraver-Tarifa, Guillermo & Hurtado-Torres, Nuria & Soriano, Paloma., Incidencia de las dimensiones del entorno 
y la incertidumbre sobre el canal de distribución: Consideraciones en el sector logístico. La gestión de la 
diversidad: XIII Congreso Nacional, IX Congreso Hispano-Francés, Logroño (La Rioja), 16, 17 y 18 de junio, 
1999, Vol. 1, 1999-01-01, ISBN 84-95301-10-5, págs. 309-316. , 2019. 
Salavarria, B. M. F., Propuesta de un modelo de gestión por procesos BPM para el área de distribución de productos 
terminados. Repositorio UTP. , 2019. 
https://repositorio.utp.edu.pe:443/handle/20.500.12867/1864 
Jiménez, B. O. X., Repositorio Universidad de Guayaquil: Análisis de la herramienta 5S en la bodega de productos 
frescos y congelados del Centro de Distribución Pronaca S.A. Repositorio Universidad de Guayaquil. , 2019. 
http://repositorio.ug.edu.ec/handle/redug/45496 
Santos López, F. M., & Santos De La Cruz, E., Aplicación práctica de bpm para la mejora del subproceso de picking 
en un centro de distribución logístico. Industrial Data, 15(2), 120–127, 2012. 
https://doi.org/10.15381/idata.v15i2.6383 
Borch, Odd & Batalden, Bjørn-Morten., Business-process management in high-turbulence environments: the case 
of the offshore service vessel industry. Maritime Policy & Management. 42. 1-18, 2014. 
https://doi.org/10.1080/03088839.2014.913816 
Mĺkva, M. , Prajová, V. , Yakimovich, B. , Korshunov, A. , & Tyurin, I., Standardization – One of the Tools of 
Continuous Improvement. Procedia Engineering, 149, 2016. 
69"
7,Developing Model Of Technological Base Interoperability For  Collaborating Multivariate-Attribute Quality Control In,"interoperability plays an important role in the digital supply chain, especially in strengthening the integration and agility of the supply chain and thus improving customer service and sustainable organizational performance. this article aims to conduct an initial literature review on developing a model for determining interoperability requirements to ensure product collaboration between companies which is a smart connected product (scp). there are three research questions formulated in this study, i.e., : (1). how to develop interoperability requirements on scp (case study on electric motorcycle swappable battery/emsb); (2). how to control quality to ensure product collaboration according to requirements, and (3). how to develop an economic impact assessment model to implement companies’ interoperability requirements. using limited literature review and adopting denyer and tranfield’s five steps in the literature review, this study explores academic literature to answer research questions that should be further studied. from the study results, it was found that the development of interoperability requirements had to be carried out in three domains, i.e., physical components, smart components, and connectivity components, using the framework for analysis comparison and testing standard (facts). quality control (qc) tools have played a role in the standard testing phase so that interoperability requirements could be tested and proven applicability. in developing the economic impact assessment model, the iso methodology - economic benefit of standards (ebs) framework could be used to solve problems.","interoperability, control chart",,"digital supply chain: a preliminary study fakhrina fahma department of industrial engineering, faculty of engineering, universitas sebelas maret, surakarta 57126, indonesia fakhrinafahma@staff.uns.ac.id or fakhrina_fahma@student.uns.ac.id wahyudi sutopo centre of excellence for electrical energy storage technology, universitas sebelas maret, surakarta 57126, indonesia research group industrial engineering and techno-economic, department of industrial engineering, faculty of engineering, universitas sebelas maret, surakarta 57126, indonesia wahyudisutopo@staff.uns.ac.id eko pujiyanto engineering, faculty of engineering, universitas sebelas maret, surakarta 57126, indonesia ekopujiyanto@ft.uns.ac.id muhammad nizam centre of excellence for electrical energy storage technology, universitas sebelas maret, surakarta 57126, indonesia engineering, faculty of engineering, universitas sebelas maret, surakarta 57126, indonesia muhammadnizam@staff.uns.ac.id",
8,A Framework For Integrating The Product-Consumer  Adoption Model Of Electric Motorcycle: Preliminary,the transportation sector is the main source of air pollution in indonesian cities. pollution can reduce air quality and increase carbon emissions that impact climate change. the indonesian government has issued regulations to accelerate the migration from internal combustion engine vehicles to electric vehicles to overcome this problem. this research is focused on electric motorcycles (em) because motorcycles dominate more than 80% of the total vehicles in indonesia. this paper aims to investigate consumer purchase intention in em by considering consumer and product views in the indonesian context. this research develops a conceptual framework by integrating the unified theory of acceptance and use of technology (utaut) and the discrete choice model. this research contributes to considering brand trust factors into utaut and integrating consumer and product aspects in developing a hybrid choice model. this study will be conducted on motorcycle owners in indonesia. the findings from the research will provide the em purchase intention of indonesian consumers by considering the analysis of consumer behavior for various em attributes.,"brand trust, utaut, 2018",,"research yuniaristanto, wahyudi sutopo and muhammad hisjam department of industrial engineering universitas sebelas maret (uns) ir. sutami st. no.36a 57126, surakarta, indonesia yuniaristanto@ft.uns.ac.id, wahyudisutopo@staff.uns.ac.id, hisjam@staff.uns.ac.id hendro wicaksono mathematics and logistics jacobs university bremen ggmbh campus ring 1 28759 bremen, germany h.wicaksono@jacobs-university.de",
9,A Reverse Logistics Framework Of Swap Battery   For Sustainable Supply Chain :  A Preliminary Research,"worldwide are working to support the transition of internal combustion engine vehicles to electric (battery-based) vehicles. the electric vehicle program has faltered because the sales target for electric motorcycles until early 2022 reached only 60%. one reason is that investment in electric vehicles is still considered relatively high. the results of previous studies regarding the battery ownership model significantly reduce investment in electric vehicles. swap batteries are expected to enter the end of life (eol) phase after 5 - 10 years of use. end of life swap batteries have the potential to impact the environment. studies related to the management and handling of eol swap batteries are very open and relevant to be carried out. in this article, the study begins with a review of related literature. then continues with a study of determining the technical criteria when it is appropriate for a swap battery to be declared eol, and ends with a study of the eol electric motorcycle swap battery (emsb) management framework to be treated so that it can enter the second phase of life. criteria are determined by considering technical and environmental aspects. the proposed treatment is reuse, repair, refurbishment, remanufacturing, and recycling. this systematic review of the reverse logistics framework is expected to create a sustainable supply chain.","end of life, reverse logistics, second life",,"annie purwani ph.d. student department of industrial engineering, faculty of engineering, universitas sebelas maret, surakarta 57126, indonesia annie.purwani@student.uns.ac.id department of industrial engineering, faculty of engineering, universitas ahmad dahlan, yogyakarta, jl. ringroad selatan, kragilan, tamanan, kec. banguntapan, kabupaten bantul, daerah istimewa yogyakarta 55191, indonesia annie.purwani@ie.uad.ac.id wahyudi sutopo and muhammad hisjam department of industrial engineering, faculty of engineering, universitas sebelas maret, surakarta 57126, indonesia wahyudisutopo@staff.uns.ac.id, hisjam@staff.uns.ac.id anugerah widiyanto directorate of human development, demography, and culture policy deputy for development policy national research and innovation agency (brin) bj habibie bld. 6th fl., mh thamrin no. 7, central jakarta, 10340indonesia anugerah.widiyanto@brin.go.id",
