,Title,Abstract,Keywords,Conclusion,Authors,References
0,Doi: 10.46254/Gc02.20240012  The Impact Of 20 Years Of Accreditation At Sultan Qaboos,"sultan qaboos university hospital was established in 1990 as a teaching hospital as part of sultan qaboos university and connected to the medical school at the beginning and the nursing school thereafter. in 2024, the hospital was separated to be under a new entity called 'university medical city'. the hospital started its initial accreditation journey in 2003 with a start to establish a quality assurance office, and hence, since then, the administration has gone to the iso 9001 quality management system (qms). the hospital was the first public organization that was certified by iso qms in oman. in 2012, another transformation was initiated at a higher level by contracting with the canadian healthcare accreditation (aci) to date. in this paper, the authors will compare the three phases of the of the journey: before accreditation, during iso qms accreditation, and aci accreditation, which created an advanced transformation in the quality management implementation within the hospital. the comparison will focus on five domains: patient outcomes, patient safety, quality of care, operational efficiency, and staff performance and satisfaction. results may help decision-makers assess the effectiveness of the external accreditation body to improve the quality of healthcare in oman, as a new national accreditation standard is going to be established soon.","accreditation, iso qms, aci",,"university hospital, muscat - oman yousuf al khamisi and fatma al dhabbari phd, mba, bsn, lssmbb, and phd, msc, bsc, rn senior quality specialist & director, directorate of development & quality sultan qaboos university hospital, university medical city, oman yusuf1@squ.edu.om, dhabari@squ.edu.om",
1,"Doi: 10.46254/Gc02.20240013  Key Performance Indicators In Quality, Reliability, And","key performance indicators (kpis) are vital metrics used to measure the efficiency, effectiveness, and success of organizational processes. in the domains of quality, reliability, and maintenance, kpis are crucial for performance assessment and management, particularly within the healthcare sector which has initiated in sultan qaboos university hospital (squh) as one of data driven decision making and to improve the quality and safety of care. quality kpis in hospitals measure the extent to which healthcare services meet patient expectations. common quality kpis include patient satisfaction rate, readmission rates, and infection rates. for example, squh patient satisfaction scores and clinical outcomes to enhance care quality. implementing quality kpis provides actionable data to refine processes and improve patient care. six sigma methodologies, heavily reliant on quality kpis, significantly reduce defects and improve process capability. however, reliability kpis in hospitals focus on consistent performance of systems and processes to track critical medical equipment performance, ensuring minimal downtime. these indicators are crucial for predicting performance and improving system design. in addition, maintenance kpis in hospitals evaluate the effectiveness of maintenance activities. for instances, key metrics include equipment availability, and preventive maintenance compliance. effective use of maintenance kpis leads to significant cost savings and operational improvements.in general, kpis in quality, reliability, and maintenance are essential for hospitals striving for operational excellence. the author in this paper will highlight the efficiency of implementing and integrating these kpis, where hospitals can meet patient expectations, maintain reliable operations, and optimize maintenance activities, ensuring long-term success within healthcare facilities.","keywords: kpis, kpi in hospitals",,"maintenance in healthcare: a case study from squh fatma al dhabbari and yousuf al khamisi phd, msc, bsc, rn and phd, ma, ba director, directorate of development & quality, senior quality specialist sultan qaboos university hospital, umc, oman dhabari@squ.edu.om, yusuf1@squ.edu.om",
2,Doi: 10.46254/Gc02.20240016  Improving Productivity Of Manufacturing Systems Using,"process reengineering is an important technique for enhancing productivity and efficiency in production lines. the purpose of this study is to demonstrate the practicality of implementing reengineering techniques in a factory in saudi arabia that specializes in the production of diverse painting goods. these products are subsequently distributed to warehouses located throughout different cities in the country. the plant encounters challenges that result in delays in certain orders and reduced profitability, namely due to lead time. to tackle these issues, a green re-engineering methodology based on simulation is proposed to enhance the factory's performance in terms of both economic and environmental aspects. the results demonstrated a significant enhancement in the production rate and daily profit by approximately 35.67% and 32.88%, respectively, after the implementation of the new design in comparison to the current system.","simulation, productivity","This paper proposes a green re-engineering methodology based on simulation to enhance the factory's performance in terms of both economic and environmental aspects. The main problem in the selected factory is the lengthy process of filling the tank with materials for the mixing procedure, resulting in a detrimental impact on production efficiency and financial gains. To solve this problem, we proposed a solution, which involves using large bags. This approach minimizes time waste and enhances productivity. By implementing this alternative, the factory can expand its operations, increase the number of production machines, and consequently increase the quantity of materials produced. The results demonstrated a significant enhancement in the production rate and daily profit by approximately 35.67% and 32.88%, respectively, after the implementation of the new solution in comparison to the current system.","green process reengineering-based simulation method husam kaid, hatim al sehli, abdullah al qahtani, khalid al johani and abdulmajeed dabwan industrial engineering department, college of engineering, taibah university, medina saudi arabia hkaid@taibahu.edu.sa, ha.m22@outlook.com, ksrsj10200@gmail.com, adabwan@taibahu.edu.sa",
3,Doi: 10.46254/Gc02.20240017  Design And Fabrication Of Vacuum-Assisted Compression,,,,,
4,Doi: 10.46254/Gc02.20240019  Designing A Smart System For Predicting Energy,"considering growing energy demands, this study presents the design and simulate of a smart system to predict electricity consumption, addressing the growing demand for electricity in the kingdom of saudi arabia, particularly in bisha, driven by increasing population density and reliance on fossil fuels major contributors to greenhouse gas emissions and global warming. the system was developed and simulated using solidworks and proteus, while matlab was employed for data analysis and accuracy measurement. the research achieved the creation of a smart system capable of real-time measurement, prediction, and monitoring of electricity consumption, boasting a high prediction accuracy of 98.96%. this predictive capability is crucial for managing demand fluctuations, enhancing energy strategies, and supporting sustainable development. the system incorporates an alert feature that notifies users of abnormal consumption patterns or risks, fostering consumer awareness and encouraging energy-efficient practices. the study also revealed a strong correlation between population density and per capita electricity consumption in bisha, providing valuable insights for urban planning and resource allocation. the research underscores the transformative role of smart systems in electricity management through real-time monitoring, predictive forecasting, and user alerts. key advantages include raising user awareness, empowering energy-saving behaviors, and scalability for broader applications. practical implications include integrating the system into smart home platforms for automation, optimizing energy pricing strategies, and enhancing sustainability. this study highlights the significant potential of intelligent systems to improve energy efficiency, promote sustainability, and support the transition to smarter energy management in response to rising demands and environmental challenges.","sustainability, energy consumption, smart system, internet of things","In this study, an intelligent system was designed to predict electricity consumption in Bisha. the results showed that the system can use tools such as Proteus, and MATLAB to calculate the actual consumption and predict the amount of electricity consumption. The system also alerts users in cases of high current or low voltage and has also given us the ability to know different consumption scenarios and what they may lead to, which enhances the effectiveness of sustainable energy management strategies. Equations of prediction accuracy that reached 98.96% were investigated. The results showed the relationship between the rate of Per capita consumption and population density rate. Based on the findings of the study, it is recommended that, developing a flexible infrastructure that supports the integration of Internet of Things devices with servers, which facilitates efficient data transfer and storage.- From improving the integration of renewable energy sources such as solar and wind energy into the energy network in Bisha, developing tools to monitor energy consumption throughout the home, which helps improve efficiency and reduce costs.","consumption in bisha city, kingdom of saudi arabia lolah s. kadasah, haya a. al-qahtani, raghad m. al-dawsari, fatima i. al-dossary and lina n. al-ghamdi undergraduate student in industrial engineering department, college of engineering, university of bisha bisha 61922, saudi arabia 441802800@ub.edu.sa, 441802818@ub.edu.sa, 441802794@ub.edu.sa, 441804466@ub.edu.sa, 441802827@ub.edu.sa khaled ali abuhasel full professor in industrial engineering department, college of engineering, university of bisha, bisha 61922, saudi arabia. kabuhasel@ub.edu.sa",
5,Doi: 10.46254/Gc02.20240022  Lean Storage Model For Enhancing Operational Efficiency:,"the pharmaceutical sector in latin america, particularly in peru, has seen significant growth, with small and medium- sized enterprises (smes) playing a crucial role in the supply of essential medications and health products. despite their importance, these smes face considerable challenges, particularly in inventory management and logistics, which have not been sufficiently addressed in existing research. the sector urgently needs solutions to issues such as inadequate storage systems, inefficient inventory management, and the high incidence of product obsolescence, which directly impact the efficiency and competitiveness of these companies. this study proposed a lean storage model specifically designed for pharmaceutical marketing smes in peru, incorporating lean manufacturing tools such as 5s, standardized work, and kanban. the model was applied in a case study of a peruvian sme, leading to measurable improvements, including a 47% reduction in picking process time, a 41% decrease in product obsolescence, and a 10.78% increase in service level, aligning it with industry standards. these results highlight the model's potential to enhance operational efficiency, reduce waste, and improve overall competitiveness in the pharmaceutical sector. the study's findings contribute to the academic discourse on lean manufacturing in smes and provide a practical framework for similar companies facing comparable challenges. further research is encouraged to explore additional lean tools and their application in other sectors.",lean manufacturing,"The key findings of this research demonstrate the effectiveness of implementing a Lean storage model in a small pharmaceutical trading company in Peru. The application of tools such as standardized work, the 5S methodology, and the Kanban system significantly reduced operational times and improved inventory management efficiency. Specifically, a 47% reduction in picking time, a 41% decrease in product obsolescence, and a 10.78% increase in service level, meeting industry standards, were observed. These results confirm that integrating Lean Manufacturing principles can generate substantial improvements in the competitiveness and sustainability of SMEs in the pharmaceutical sector. The importance of this research lies in its contribution to the knowledge and practice of inventory management in SMEs, a sector that often lacks specific studies. By addressing critical issues such as inefficiency in storage processes and the high rate of product obsolescence, this research provides a framework to optimize operations, improve service quality, and increase profitability. Additionally, it reinforces the idea that SMEs, despite their resource limitations, can significantly benefit from adopting Lean methodologies, enabling them to compete more effectively in a highly regulated and competitive market. The contributions to the field of study are numerous and significant. Firstly, this study expands the application of Lean Manufacturing in a sector that has been historically underexamined. Implementing the Lean model in a pharmaceutical SME not only improves operational efficiency but also provides an adaptable framework that can be used by other companies in similar contexts. Moreover, the results offer empirical evidence that Lean methodologies can be successfully adapted and applied in SMEs, overcoming the specific challenges of such organizations. This study also suggests that adopting tools like Kanban and 5S can improve not only internal efficiency but also customer satisfaction and market positioning. Regarding final observations and suggestions for further study, this work highlights the need for continued research into the application of Lean tools in SMEs within highly regulated sectors, such as the pharmaceutical industry. It is suggested that future studies explore the integration of emerging technologies, such as automation and the Internet of Things (IoT), to further enhance the efficiency and accuracy of inventory management and storage processes. Additionally, it would be beneficial to investigate the long-term impact of Lean model implementation on the sustainability and growth of SMEs, as well as their ability to adapt to changes in demand and market regulations. This call to action encourages researchers to delve deeper into the application of Lean methodologies in SMEs and explore new directions that could contribute to the development of innovative and effective solutions in operations management.","a case study of a peruvian pharmaceutical sme yoshan akira yseki-paucar bachelors in industrial engineering facultad de ingeniería, universidad de lima, perú 20123233@aloe.ulima.edu.pe jorge mauricio miller-espejo bachelors in industrial engineering facultad de ingeniería, universidad de lima, perú 20150887@aloe.ulima.edu.pe",
6,Doi: 10.46254/Gc02.20240023  Developing And Implementing A Lean-Based Inventory,"the construction sector in peru significantly contributes to economic development, with smes playing a vital role. however, these enterprises often face inefficient inventory management, leading to increased costs and material waste. this study proposes a lean-based inventory management model tailored for construction smes to address these challenges. the model integrates tools such as the 5s methodology, demand forecasting, and optimized inventory policies to streamline processes and enhance efficiency. implementation results demonstrated a 10% reduction in average inventory levels and a 40% decrease in defective product rates, indicating substantial operational improvements and cost savings. this research contributes to existing literature by providing a practical framework for inventory optimization in construction smes and underscores the socioeconomic benefits of adopting lean practices. the study advocates for broader application and further exploration of lean methodologies within the construction industry to promote sustainable operational excellence.","lean manufacturing, construction smes","The main findings of the study indicate that the implementation of the Lean Manufacturing-based model, specifically adapted for construction SMEs, led to significant improvements in inventory management efficiency. The average inventory level decreased by 10%, the reuse of scraps increased by 18%, and the accuracy of inventory records improved by 2%. Additionally, the rotation of inventories saw a 12% increase, while the rate of inventory breakdowns and defective products decreased by 38% and 40%, respectively. These results underscore the model's effectiveness in optimizing inventory processes and reducing waste, thereby enhancing overall operational efficiency. 50","management model: a case study in the peruvian construction sme sector carlo rivaldo flores-cruz bachelors in industrial engineering facultad de ingeniería, universidad de lima, perú 20173362@aloe.ulima.edu.pe rene juvenal yañez-jurado bachelors in industrial engineering facultad de ingeniería, universidad de lima, perú 20151482@aloe.ulima.edu.pe","References  
Ariel L. Lituve Anna Merdie. A study on the impact of supply chain and manufacturing improvement initiatives in 
MTO and MTS companies. Ingenierías Usbmed. 2011. https://doi.org/10.21500/20275846.256 
Ángel-Coronel, A., Logistical evaluation of an SME as a strategy for its organizational performance. Ingeniería 
Industrial. 2022. https://doi.org/10.26439/ing.ind2022.n43.5914 
Apolinario, J., & Guevara, R., The mediating effect of executive capacity for innovation between knowledge 
management and supply chain performance. Información Tecnológica. 2021. https://doi.org/10.4067/s0718-
07642021000100151 
Badillo, J., et al., Importance of logistics KPIs in SMEs. Publicaciones E Investigación. 2021. 
https://doi.org/10.22490/25394088.5548 
Bendeck Segrera, A., Logistics capabilities as determinants for the internationalization of SMEs: A systematic 
literature review. Revista Cea. 2020. https://doi.org/10.22430/24223182.2126 
Bravo, A., et al.,  Economic quantification of construction waste from a high-rise building: A case study. Información 
Tecnológica. 2019. https://doi.org/10.4067/s0718-07642019000200085 
Escandón, J., et al., Logistical barriers to the export of SMEs in Colombia. Administración Y Desarrollo. 2014. 
https://doi.org/10.22431/25005227.82 
Félix, A., & Aldana, R., Identification of competitive advantages for Mexican SMEs in emerging markets: Results of 
a bibliometric study. 2022. The Anáhuac Journal. https://doi.org/10.36105/theanahuacjour.2022v22n1.02 
Hirano, H., 5S for Operators: 5 Pillars of the Visual Workplace. Productivity Press. 1996. DOI: 
10.1108/9780873892927 
Imai, M., Kaizen: The Key to Japan's Competitive Success. McGraw-Hill. 1986. DOI: 10.1016/0277-9536(86)90282-
0 
J. 
, 
Cases 
of 
success 
of 
Lean 
Manufacturing 
in 
SMEs: 
A 
literature 
review. 
Huamachuco. 
2023https://doi.org/10.61709/huamachuco.v1i1.6 
J., Implementation of Kanban to increase the effectiveness of a supermarket-type warehouse in a manufacturing 
company. Información Tecnológica. 2023. https://doi.org/10.4067/s0718-07642023000600001 
Jiménez, J., & Amaya, A., Lean Six Sigma in small and medium enterprises: A methodological approach. Ingeniare 
Revista Chilena De Ingeniería. 2014. https://doi.org/10.4067/s0718-33052014000200012 
Liker, J. K. (2004). The Toyota Way: 14 Management Principles from the World's Greatest Manufacturer. McGraw-
Hill. DOI: 10.1036/0071392319 
Lingán, A., Bravo, B., Gutiérrez, J., & Salinas, F., Gestión de calidad en pequeñas y medianas empresas de pasco, 
perú. 
Revista 
Venezolana 
De 
Gerencia, 
27(Edición 
Especial 
7), 
709-726. 
2022. 
https://doi.org/10.52080/rvgluz.27.7.46 
Mayta, E. and Martinez, M., La situación de las pymes en un contexto de post pandemia. Dataismo, 1(2), 49-60. 2021. 
https://doi.org/10.53673/data.v1i2.9 
51"
7,Doi: 10.46254/Gc02.20240024  Iot-Integrated Ambulance Allocation-Scheduling For,"optimization of ambulance scheduling is a crucial factor in improving emergency responses to preserve lives. the present study introduces a novel methodology for ambulance scheduling, which incorporates the internet of things (iot) to enhance resource utilization and reduce response times in emergency medical services. we have devised a dual-level program model consisting of two sub-models. the first sub-model is designed to allocate ambulances to different districts based on geographic and traffic data. the second sub-model is responsible for determining the order of visit priorities within each district, aiming to minimize the overall time required to respond to a case. substantial enhancements in responsiveness and resource utilization were observed in comparison to traditional approaches. the present system, which is enabled by the iot, exhibits real-time adaptability in crisis management. we present results that demonstrate the revolutionary capacity of iot applications in emergency medical services (ems) and offer practical insights for healthcare organization managers.",emergency response,,"improved emergency response reza kia associate professor department of operations managements and business statistics sultan qaboos university muscat, sultanate of oman r.kia@squ.edu.om amirhossein salehi-amiri phd student management science and marketing (msm) division alliance manchester business school manchester, uk seyedamirhossein.salehiamiri@manchester.ac.uk ali zahedi phd student tecnologico de monterrey, escuela de ingeniería y ciencias, puebla, mexico ali.zahedi.ie@gmail.com navid akbarpour department of industrial engineering university of science and technology of mazandaran behshahr, iran n.akbarpour@mazust.ac.ir",
8,Doi: 10.46254/Gc02.20240025  Integrating Sustainability Into Engineering Education:,"material and energy resources of the world are dwindling, coupled with rapid environmental and ecological degradation. renewability and sustainability have become critical issues. sustainable engineering involves enhancing the design of products, systems, and services to achieve superior environmental and social performance while ensuring economic feasibility. the challenge lies in transforming this broad concept into a robust educational framework with well-defined methods, tools, and metrics for integration into engineering curricula and professional practice. to incorporate sustainability into their curricula, some institutions have experimented with problem-based and project- based learning (ppbl) as a tool. the premise is that use of ppbl promotes cooperative learning, critical thinking, systemic reasoning, creativity, and societal awareness, all key aspects of sustainability. however, developing a practical curriculum presents challenges, including establishing suitable physical learning environments, revising instructional methods and assessment norms, ensuring foundational ppbl knowledge for educators and students, securing institutional support, and more. one specific challenge is deciding whether to create a dedicated course on sustainable engineering or to integrate modules on environmental engineering, green engineering, pollution prevention, waste minimization, and design for the environment within existing courses. the first section of this paper introduces key issues in sustainable development and engineering, the intersection of sustainable, renewable, and recyclable concepts, education for sustainable development, and pedagogy for sustainability. the second section outlines the ongoing efforts to incorporate sustainability content in the mechanical engineering program at our university, detailing a roadmap for curriculum development and providing examples from courses in the applied mechanics and design, and materials and manufacturing streams. the final section touches upon significant challenges in sustainability education, including the practice of sustainability in academia, policy-making challenges, content overload, cultural considerations, and the nuanced distinction between environmental protection and sustainability.",instruction,"This paper explores the importance of integrating sustainability into engineering curricula and the methods for doing so. It begins with an introduction to sustainable development and its connection to sustainable engineering, clarifying the differences between the terms sustainable, renewable, and recyclable. The core discussion focuses on ""education for sustainable development"" and ""pedagogy for sustainability education."" Efforts to incorporate sustainability into the mechanical engineering program at our university are outlined, including a curriculum roadmap and examples from two courses: Product Design and Engineering Materials. The paper concludes by addressing key challenges in sustainability education, such as academic practices, policy issues, curriculum overload, cultural barriers, and the distinction between environmental protection and sustainability.","execution and obstacles sayyad zahid qamar, nasra al maskari and tasneem pervez department of mechanical and industrial engineering sultan qaboos university, muscat, oman sayyad@squ.edu.om, maskaria@squ.edu.om, tasneem@squ.edu.om",
9,Doi: 10.46254/Gc02.20240026  Improved Operational Efficiency And Patient Satisfaction In,"the healthcare sme sector in latin america, particularly in peru, plays a crucial role in providing primary care services. however, these enterprises face significant operational challenges, including inefficiencies in patient care processes and reliance on manual records. this research addressed these challenges by proposing a lean service- based model aimed at optimizing operational efficiency and improving the quality of care. the implementation of lean tools such as 5s, standardized work, and kaizen led to a 39.3% reduction in consultation waiting times and a 33.3% increase in productivity. these findings highlight the model's effectiveness in enhancing both operational efficiency and patient satisfaction. the study's academic and socio-economic impact is profound, offering a replicable model for healthcare smes to improve service delivery. further research is encouraged to explore the integration of emerging technologies to sustain and amplify these improvements across the healthcare sector.","lean service, healthcare smes","The study conducted on the implementation of Lean Service tools in healthcare SMEs in Peru has identified and addressed several inefficiencies in the operational processes of these organizations. The main findings indicate that applying Lean methodologies, such as Value Stream Mapping (VSM), the 5S methodology, standardized work, and Kaizen, significantly contributed to reducing waiting times, improving productivity, and optimizing patient flow. Specifically, there was a 39.3% reduction in waiting time for a consultation, a 97.6% decrease in time spent on reviewing medical histories, and a 33.3% increase in productivity, demonstrating the effectiveness of the proposed model in enhancing operational efficiency and service quality in these institutions. The importance of this research lies in its contribution to understanding and practically applying Lean tools in a sector traditionally resistant to significant changes in its operational processes. The study not only demonstrated that it is possible to adapt these methodologies, originally designed for manufacturing, to the healthcare services context, but it also highlighted the need for a systematic and disciplined approach to achieving sustainable improvements. The structured approach based on Lean Service not only enabled greater efficiency in resource management but also fostered a culture of continuous improvement among staff, which is essential for the long-term sustainability of the implemented improvements. In terms of contributions to the field of study, this research provides a comprehensive operational model that can be replicated and adapted in other healthcare SMEs, both within the Peruvian context and in similar settings in Latin America. The successful implementation of Lean tools in this study offers practical guidance for other researchers and professionals in the sector looking to improve operational efficiency and service quality in resource-limited environments. Additionally, by focusing on key areas such as reducing waiting times and standardizing work, this study lays the groundwork for future research exploring the adaptation of other continuous improvement tools in the healthcare sector. Finally, observations and suggestions for future studies are offered. The current research focused on a specific case study within the Peruvian context, so one of the key recommendations is to replicate this study in different types of healthcare SMEs across various geographic regions to further validate and refine the proposed model. Additionally, it would be valuable to investigate the long-term impact of the implemented improvements in terms of financial sustainability and patient satisfaction, which would require long-term follow-up. Moreover, exploring the integration of emerging technologies, such as artificial intelligence and data analytics, could offer new perspectives for further optimizing processes in healthcare SMEs.","healthcare smes through lean service: a case study from peru alfonso franco-cantuarias bachelors in industrial engineering facultad de ingeniería, universidad de lima, perú 20182616@aloe.ulima.edu.pe javier enrique grimaldo-quiroz bachelors in industrial engineering facultad de ingeniería, universidad de lima, perú 20151932@aloe.ulima.edu.pe",
