,Title,Abstract,Keywords,Conclusion,Authors,References
0,A New Formulation Of Quadratic Assignment Problem  (Qap),"different formulations of qap (such as linear integer formulation, milp formulation, formulation by permutations, trace formulation and graph formulation) are given in loiola et. al. (2007). different linearization of qap are summarized in singh and sharma (2008). we give here a new qap formulation and describe its advantages. for many different contributions to layout problems refer to sharma (2019, 2019, 2020, 2020, 2021 and 2022). in this paper we give a new formulation of qap. problem qap min sum over (i,j,k,l): x(i,j)*x(k,l)*d(j,l)*f(i,k) (a) sum(i), x(i,j) = 1 for all j (b) sum(j), x(i,j) = 1 for all i (c) x(i,j) = (0,1) for all i and j (d) x(i,j) = 1 if facility ‘i’ gets into ‘j’ th slot, d(j,l) is the distance between ‘j’ th and ‘l’ th slot and f(i,k) is flow between facility ‘i’ and ‘k’. here we give a new formulation of qap. we put following constraints. x(i,j) + m*(1 – y(i,j)) >= 1 for all i,j (e) x(i,j) - m*(y(i,j)) <= 0 for all i,j (f) y(i,j) = (0,1) for all i,j (g) and add (h) in place of (d) x(i,j) >= 0 for all i,j (h) when x(i,j) is 1, then y(i,j) = 1; and when x(i,j) is 0, then y(i,j) is 0. any x(i,j) in open interval (0,1) is infeasible (say x(i,j) = 0.5 is infeasible with either y(i,j) = 0 or 1). thus though x(i,j) is real >= 0, it acts like binary due to (e), (f) and (g). then new formulation (nf_qap) of qap is (a), s.t. (b), (c), (e), (f), (g) and (h). it has n2 real, n2 binary and 2*( n2 +n) constraints; and has quadratic objective function in real variables. these are the merits of our new formulation of qap. for a detailed comparison see singh and sharma (2008). similar formulations are possible in dplp (dynamic plant layout problem) also.",,,rrk sharma department of ime iit kanpur 208016 india rrks@iitk.ac.in,"References 
Assad, A. and Xu, W., On lower bounds for a class of quadratic 0-1 programs, Operations Research Letters, V 4(4), 
p. 175-180. 1985 
Christofides, N., Contributions to quadratic assignment problem”, European J of Operational Research, V 18(4),  p. 
243-247, 1980. 
Frieze, AM and Yadegar, J., On the quadratic assignment problem”, Discrete Applied Mathematics, V5, p. 8998. 
1983. 
Kauffman L. and Broeckx, F., An algorithm for quadratic assignment problem using Bender’s decomposition, 
European J of Operational Research, V2, p. 204-211, 1978.  
Lawler LE, The quadratic assignment problem, Management Science, 586-599, 1962.  
EM Loiola , A review of QAP, European Journal of Operational Research 176, p. 657–690, 2007.  
RRK Sharma, Working Paper Series: Lecture Notes in Management Science: Vol 1, A collection of 148 working 
papers, (All Authored by Prof. RRK Sharma). EXCEL PUBLISHERS NEW DELHI; p. 149, 2019. 
RRK Sharma, Working Paper Series: Lecture Notes in Management Science: Vol 2, A collection of 295 working 
papers, (All Authored by Prof. RRK Sharma); EXCEL PUBLISHERS NEW DELHI,  p. 234. ISBN: 9-789-388-
237796, 2019. 
RRK Sharma, Working Paper Series: Lecture Notes in Management Science: Vol 3, (150 articles are written: All 
Authored by Prof. RRK Sharma); FEB 2020. ISBN: 978-93-89947-08-3; p. 156. 2020. 
RRK Sharma, Working Paper Series: Lecture Notes in Management Science: Vol 4, (It has 01 article + 4 software: 
All Authored by Prof. RRK Sharma); p. 192. ISBN: 9789389947212. 2020.  
RRK Sharma, “Working Paper Series: Lecture Notes in Management Science: Vol 5, (It has 139 articles are written: 
All Authored by Prof. RRK Sharma); ISBN: 978-93-89947-31-1; 2021.  
RRK Sharma, Working Paper Series: Lecture Notes in Management Science: Vol 6, (It has 049 articles are written so 
far: All Authored by Prof. RRK Sharma); In Press (as on 01 Apr 2022).  
Padberg, W. and Rijal, P., Location, Scheduling, Design and Integer Programming, Kluwer Academic Publishers, 
Boston, 1996.  
Singh, S.P. and Sharma R.R.K., A review of different approaches to the facility layout problem”, International Journal 
of Advanced Manufacturing Technology, V30, 425-433, 2006. 
Sharma, R.R.K. and Singh, S.P., “A review of various linearization of the QAP: A comparative study for assessing 
relative computational effort”, Review of Business Research, V8(1),  p. 185-190, 2008 
 
Biography  
Prof. RRK Sharma: He is B.E. (mechanical engineering) from VNIT Nagpur India, and PhD in management from 
I.I.M., Ahmedabad, INDIA. He has nearly three years of experience in automotive companies in India (Tata Motors 
and TVS-Suzuki). He has 33 years of teaching and research experience at the Department of Industrial and 
Management Engineering, I.I.T., Kanpur, 208016 INDIA. To date he has written 1217 papers (peer-reviewed (401) 
/under review (35) / working papers 781 (not referred)). He has developed over ten software products. To date, he has 
guided 66 M TECH and 23 Ph D theses at I.I.T. Kanpur. He has been Sanjay Mittal Chair Professor at IIT KANPUR 
5"
1,Proposing A New Promising Constraint To The Single Stage  Capacitated Warehouse Location Problem (Sscwlp),"in this work, we advance the solution approach to the single stage capacitated warehouse location problem (sscwlp) problem. we took six formulations given by sharma and berry (2007) for sscwlp with various constraints combinations and added a new promising constraint (∑capj * yj ≥ 1). the computations done after additional constraint results in statistically better results reduction in number of nodes searched as well as in cpu time taken to solve the problem. we created random 50 samples of problems of size 15x15x15, 30x30x30 and 50x50x50 size problems and solved using gams software to show the computational advantage even in such large magnitude problem. we performed paired t-test on all the six pairs of results to observe statistical significance of improvement with the new constraint. results with new constraint were observed statistically significant and better at two-tailed t- test with 95% confidence interval.",,"In this work, we add one new promising constraint in the various formulations proposed in the style of Sharma and Sharma in the quest of finding the strength and computational benefit of the new constraint added. All formulations were solved on GAMS with Branch and Bound algorithm. After performing the statistical analysis it can clearly be established that the formulations having the new added constraint (∑capj.yj≥1) take less no of node searched also can be executed in lesser computational time as compare to their counterpart formulations, not having this constraint. This was statistically evident in both small as well as large size of problems taken. However, we couldn’t go beyond 50X50X50 size problem because of the termination of program run on the GAMS due to low processing capacity of the system but the strength of this constraint can further be checked on problems having size of 100X100X100 and beyond. In whole of the analysis, we considered single commodity problem but this work can be extended to multi commodity problems as well.","rrk sharma department of ime, iit kanpur 208016 india email: rrks@iitk.ac.in ajay jha department of operations management jaipuria institute of management, lucknow, 226010 india email: ajayjha.knp@gmail.com priyank dubey kanpur divisional office indian oil corporation ltd, kanpur 208001 india email: rehanr94@gmail.com kk lai president, cyut taiwan laikk.tw@gmail.com",
2,Impact Of Workload Balancing On The Sustainability Of  Processes In A Manufacturing Company,"nowadays, manufacturing companies are looking to improve their sustainability in the market. however, there are several factors that negatively affect it, such as workload imbalance among workers, defective parts, and customer complaints, to name a few. this paper presents a case study of a workload imbalance in a global customer complaint follow-up process in a manufacturing company, generating lagged complaints (no follow-up), which has negatively impacted the sustainability of the process. due to this, the objective of this project is to increase the sustainability of the process by reducing the number of delayed complaints. to do this, the causes of the problem are identified. then, an analysis of the process flow map is performed to see the current distribution of the workload among the different plants of the company. moreover, corrective actions are implemented and followed up. subsequently, the process is standardized, transferred by parts to the different plants, monitored for control, and the effectiveness of the actions is measured. as a result, there was an increasing trend in terms of compliance in the capture of complaints, starting with 84% and reaching 97%. similarly, the total number of complaints received showed a decreasing trend. finally, zero delayed/indefinite complaints (no follow-up) were obtained. therefore, it is concluded that workload balancing has a positive impact on the sustainability of processes in manufacturing companies.","delayed complaints, social",,"arturo realyvásquez-vargas, perla maría larrañaga, karina cecilia arredondo-soto, guadalupe hernández-escobedo, amalia carmina salinas-hernández department of industrial engineering tecnológico nacional de méxico/instituto tecnológico de tijuana tijuana, baja california, mexico arturo.realyvazquez@tectijuana.edu.mx, perla.larranagam201@tectijuana.edu.mx, karina.arredondo@tectijuana.edu.mx, guadalupe.hernandez@tectijuana.edu.mx, asalinas@tectijuana.edu.mx","References 
Barile, S., Quattrociocchi, B., Calabrese, M., & Iandolo, F. Sustainability and the Viable Systems Approach: 
Opportunities and Issues for the Governance of the Territory. Sustainability, 10(3), 790. 
https://doi.org/10.3390/su10030790, 2018. 
Fathi, M., Nourmohammadi, A., Ghobakhloo, M., & Yousefi, M. Production Sustainability via Supermarket 
Location Optimization in Assembly Lines. Sustainability, 12(11), 4728. https://doi.org/10.3390/SU12114728, 
2020. 
Fatimah, Y. A., & Aman, M. Remanufacturing sustainability indicators: An Indonesian small and medium enterprise 
case study. IOP Conference Series: Materials Science and Engineering, 403(1), 012055. 
https://doi.org/10.1088/1757-899X/403/1/012055, 2018. 
Fischer, D., Brettel, M., & Mauer, R. The Three Dimensions of Sustainability: A Delicate Balancing Act for 
Entrepreneurs Made More Complex by Stakeholder Expectations. Journal of Business Ethics, 163(1), 87–106. 
https://doi.org/10.1007/S10551-018-4012-1, 2020. 
Goyal, A., Agrawal, R., & Saha, C. R.. Quality management for sustainable manufacturing: Moving from number to 
impact of defects. Journal of Cleaner Production, 241, 118348. 
https://doi.org/10.1016/J.JCLEPRO.2019.118348, 2019. 
Jayal, A. D., Badurdeen, F., Dillon, O. W., & Jawahir, I. S. Sustainable manufacturing: Modeling and optimization 
challenges at the product, process and system levels. CIRP Journal of Manufacturing Science and Technology, 
2(3), 144–152. https://doi.org/10.1016/J.CIRPJ.2010.03.006, 2010. 
Kishawy, H. A., Hegab, H., & Saad, E. Design for Sustainable Manufacturing: Approach, Implementation, and 
Assessment. Sustainability, 10(10), 3604. https://doi.org/10.3390/SU10103604, 2018. 
Mercado-Burciaga, U. Sustainability Assessment in Housing Building Organizations for the Design of Strategies 
against Climate Change. HighTech and Innovation Journal, 1(4), 136–147. https://doi.org/10.28991/HIJ-
2020-01-04-01, 2020. 
Miranda, S., Indrawati, S., & Wulandari, W. Analysis of Mental Workload in Human Resource Department. In 
Proceedings - 2018 4th International Conference on Science and Technology, ICST 2018 (pp. 1–5). 
Yogyakarta, Indonesia : Institute of Electrical and Electronics Engineers Inc. 
https://doi.org/10.1109/ICSTC.2018.8528658, 2018. 
Neves, P., Silva, F. J. G., Ferreira, L. P., Pereira, T., Gouveia, A., & Pimentel, C. Implementing Lean Tools in the 
Manufacturing Process of Trimmings Products. Procedia Manufacturing, 17, 696–704. 
https://doi.org/10.1016/J.PROMFG.2018.10.119, 2018. 
26"
3,A New Approach For Solving Simple Plant Location  Problem (Splp),"the simple plant location problem (splp), an np-hard combinatorial problem, is used extensively to decide the minimum number of plants with unlimited production capacity to serve a certain set of markets demand. the objective function is to minimize the sum of fixed costs of locating the plants and variable cost of transportation of moving goods from plants to markets. strong formulation of splp gives better bounds than weak formulations of splp. hence in a branch and bound method, we find that strong formulation processes lesser number of nodes. but the number of strong constraints are quadratic (number of weak constraints are linear); hence at each node we take more time to process the node (sharma and verma (2012)) and weak formulation does better in terms of cpu time to give optimal solution. we add few most promising constraints to weak formulations and see that weak + few promising strong constraint formulation of splp performs the best.","np hard, valid inequality","After analysing the above discussion and tables we can conclude that the model B1 is the best model among models A1, A2, A3, B1 and B3. . Model B2 is as good as B1. So the contribution in form of most promising constraints holds good in solving SPLP.","r.r.k. sharma industrial & management engineering iit kanpur, india rrks@iitk.ac.in ajay jha jaipuria institute of management, lucknow, india ajay.jha@jaipuria.ac.in abhay pratap singh industrial & management engineering iit kanpur, u.p., india abhayraj03560@gmail.com",
4,Cybersecurity In Online Learning Environment  Thiru Pandian,"this paper reviews various articles regarding information and multimedia security challenges in e-learning environments and how to safeguard personal and intellectual content from cybersecurity attacks. e-learning is one of the leading education methods used in learning environments, primarily because it brings the learning community together irrespective of where the student lives and allows them to instantly share their knowledge with anyone in the world through web applications. adaptation of e-learning has grown exponentially as every educational institution is eager to adopt it while ignoring the challenges related to the security of contents it presents through web infrastructure. increased use of multimedia in online learning provides an enhanced learning experience. as with any other web application, the e-learning platform faces numerous obstacles to safeguarding curriculums' intellectual content from hackers. securing multimedia in a digital learning environment became paramount as the covid-19 pandemic required academic institutions to use e-learning platforms. this study explores challenges in protecting information and multimedia security and conducts a survey to identify information security awareness among students and educators.","cybersecurity, online learning, multimedia 44",,"asst professor university of texas at dallas, usa pthiru@yahoo.com",
5,Analysis Of Hemp Reinforced Composites  Som R. Soni,"industrial, infrastructural, and biodegradable structural applications using hemp fibers are of interest to enhancing environmental sustainability. the purpose of this research is to develop innovative techniques and combinations of constituents to use composites in agricultural, infrastructural and other relevant industries. the products including graphite or hemp reinforced polymers with different volume fractions and orientations are considered. while a large number of products could be used in the commercial production, we explore only two laminates in this investigation. broad aspects of mechanical response for composites and their products are provided in the user manual of a software package developed at adtech systems research in collaboration with air force research laboratory. after identifying important constituents for composites and desirable applications, an attempt was made to investigate a set of sample cases by running asca code for 2 representative composite laminates. using analytical techniques, effective response characteristics of representative composites are predicted and given in this paper. based upon this research a set of influencing factors will be identified, specific number of composite laminates will be chosen, manufactured, analyzed and tested for their performance characteristics. further research is in progress for comparative studies between predicted and experimental values.","hemp, composites, micromechanics, micromechanics",A foundation is laid for doing mechanics-based research on hemp-fiber-reinforced composites. There has been increasing interest in this field. We have effectively used the mathematical models developed in ASCA for studying the response characteristics of Hemp/EPON 828 and AS4/H3501-6 laminates. Future studies will study and improve the hemp reinforced composites and products.,"adtech systems research inc., 1342 north fairfield road, beavercreek, ohio 45432, usa somrsoni@gmail.com subramania i. sritharan and craig schluttenhofer agricultural research and development program (ardp) college of engineering, science, technology and agriculture central state university 1400 brush row road, wilberforce, oh 45384 sri@centralstate.edu, cschluttenhofer@centralstate.edu",
6,A Pareto Analysis Of Critical Success Factors Of Lean  Production System,"in today's highly competitive business environment, particularly with the global business environment and enhanced market competition, the existence of businesses highly depends on their ability to improve their manufacturing strategies. there are many manufacturing strategies addressed in the literature to achieve manufacturing excellence. out of various manufacturing strategies, the lean production system (lps) strategy is becoming an important one regardless of the size of the industry. smes are continuously playing an important role in the manufacturing sector all over the world. further, smes play a very important role in both the economic and industrial growth of every country, irrespective of whether developed or developing countries. smes are struggling to maintain their capability in meeting their day-to-day competitiveness due to the high competition in today's global market. to sustain the capability to meet the competition, the sme must be very efficient in their organization by way of reducing many wastes such as overproduction, waiting time, defects, non-value-added processing activities, excess on motion, high inventory, and transportation.","pareto, global business, lean, success factors","SMEs play a very important role in both the economic and industrial growth of every country, irrespective of whether developed or developing countries. SMEs are struggling to maintain their capability in meeting their day-to-day competitiveness due to the high competition in today's global market. To sustain the capability to meet the competition, the SME must be very efficient in their organization by way of reducing many wastes such as overproduction, waiting time, defects, non-value-added processing activities, excess on motion, high inventory, and transportation.","s. bharath sankar and muthu mathirajan department of management studies indian institute of science (iisc), bangalore karnataka 560012, india bharathss@iisc.ac.in, msdmathi@iisc.ac.in",
7,Learning-Curve Applications For Emerging Products And  Services,"a learning curve is a powerful tool for companies producing large lots or cutting-edge products, enabling them to negotiate cost savings. new products and services are crucial for the growth of any business, particularly in the technology sector. however, they also come with inherent risks. one of these challenges is the learning curve associated with new offerings. companies can assess the cost savings of acquiring new skills by applying the learning curve. a common mistake is to price new products solely based on their initial manufacturing costs. however, if businesses utilize the learning curve effectively, it can be a valuable tool for estimating costs, improving productivity, and achieving long-term profitability. understanding and implementing the learning curve empowers companies to make informed pricing, resource allocation, and project management decisions. it allows them to optimize their processes and identify opportunities for cost reduction and improved performance. the study aims to determine the learning rate for emerging or exceptionally large-scale products where traditional learning curve theory may not readily apply. this research will show how large corporations and defense organizations can effectively use the learning curve to manage extensive projects involving emerging products and services.","learning curve, learning rate","The proposed model will improve the perception of the learning curve as the Effect of learning efficiency, cognitive learning, and productivity, as most people usually get better at repeated processes. The learning-Curve Effect as a negotiation tool requires careful analysis of data and a clear understanding of the efficiencies gained over time. By highlighting experience, a company can negotiate based on efficiency gains and negotiate better deals and agreements. Continued improvement could be used as a negotiation tool to estimate the project cost. This example illustrates how the learning curve effect can be applied to calculate the cost of producing the next product unit based on the cumulative production volume. The provided tables show an example of shipbuilding data and the results of the learning curve model. The R-squared value of 0.9 indicates a strong relationship between the hours and the shipping number, demonstrating the learning curve effect. The estimated parameter b, obtained from the linear regression, represents the learning rate. In this case, the expected learning rate falls within the typical range for shipbuilding projects (around 88.4%). A human phenomenon is that an employee gets quickly in performing repetitive tasks and becomes proficient over time. The study showed that the learning curve could be used to predict the cost of production during large-scale production. This information was helpful to the company in making decisions about how to develop and launch large- scale emerging products such as a new containership or super tanker. A high learning curve indicates that the initial cost is high, but the tasks might be intensive to employee training. As the learning curve has many applications, a company can identify the significance of dedicated training for new procedures, allocating employees' time, or allocating costs across a new product or an extensive unit and use the information for negotiation. Future research direction is how a project manager or industry leader can use various learning curve applications to derive financial forecasts, estimate the budget, anticipate due dates, and meet customer demand.","mohammad rahman and daniel kirby school of engineering, science, and technology central connecticut state university new britain, ct 06053, usa rahman@ccsu.edu, kirbyerd@ccsu.edu",
8,The Risk Management For Infant Formula Milk Supply  Chain Based On Ahp Model For Risk Mitigation And,"the first product in a baby's diet that makes a difference in their health is infant milk. infant formula milk (ifm) has experienced many turbulences throughout history and has always been a target for smugglers and those attempting to make illegal high profits. the biggest scandal in chinese ifm trading occurred in 2008, and the recent massive recall of ifm products in the us in february 2022 following the recognition that the products contained microbial contamination. among the bacteria found are salmonella newport and cronobacter sakazakii. throughout this study, the objective is to identify the most critical risks that may affect the quality of ifm in the supply chain and determine mitigation strategies to improve the performance measurement of ifm in the supply chain. we are developing a model to reduce adulteration and contamination rates in the ifmsc and maximize safety. the steps to achieve the study objectives include: 1) identifying the importance of ifms for infant nutrition and their risks. 2) establishing mitigation criteria for evaluating the performance of the ifmsc to maximize its quality; and 3) analyzing each mitigation criteria to maximize the safety of ifms. based on pairwise comparisons conducted by professionals in food supply chain (fsc) decision-making, the analytic hierarchy process (ahp) model is used to analyze and prioritize mitigation alternatives. according to the contamination quality risk agent, the mitigation alternative (qr.m2) ranks highest. it illustrates how important it is to avoid risk when dealing with public health, especially the health of infants, and how ifm must undergo precise testing and quality checks at every stage of the supply chain to ensure its quality.","infant formula milk, milk quality, supply chain risks",,"maximize the safety mona haji logistics and supply chain management department college of science and engineering hamad bin khalifa university doha, qatar mhaji@hbku.edu.qa",
9,Framework For Developing Interactive Dashboards And  Evaluating Their Usage Effectiveness: A Case Study,"this research proposes a framework to develop interactive dashboards and evaluates the effectiveness of using them in improving data management, data analysis, data visualization, and information sharing. a case study in an electronics manufacturing company located in the united states was conducted to implement the proposed framework with a main focus on business and financial information. the framework is comprised of four main phases; pre- assessment to assess the current situation, standardizing the format of the databases, creating interactive dashboards, and post-assessment to evaluate the suggested improvements. the proposed framework proved its effectiveness in creating standardized databases and interactive dashboards based on the results of the pre/post assessment. the assessment showed positive feedback on how the use of dashboards helps in improving the four-evaluation metrics; data management, data analysis, data visualization, and information sharing.","data analysis, data visualization","A framework to create interactive dashboards has been proposed in this research to improve data visualization and analysis. The framework consists of four main phases, namely, pre-assessment to assess the current situation, standardizing the databases, creating interactive dashboards, and post-assessment to evaluate the suggested 76","farah altarazi and daryl santos systems science and industrial engineering department the state university of new york at binghamton new york, usa faltara1@binghamton.edu, santos@binghamton.edu albert tomchesson foxconn industrial internet houston, tx, usa","References 
Alhamadi, M., Challenges, strategies and adaptations on interactive dashboards, 28th ACM Conference on User 
Modeling, Adaptation and Personalization, pp. 368-371, 2020. 
Conrow, L., Fu, C., Huang, H., Andrienko, N., Andrienko, G., and Weibel, R., A conceptual framework for developing 
dashboards for big mobility data. Cartography and Geographic Information Science, pp.1-20, 2023. 
Hu, H., Wen, Y., Chua, T.-S., and Li, X., Toward Scalable Systems for Big Data Analytics: A Technology Tutorial, 
IEEE Access, vol.2, pp.652-687, doi.10.1109/ACCESS.2014.2332453, 2014. 
Joshi, A., Kale, S., Chandel, S., and Pal, D. K., Likert scale: Explored and explained, British journal of applied science 
& technology, vol. 7(4), no.396, 2015. 
Lempinen, H., Constructing a design framework for performance dashboards. ,Nordic Contributions in IS Research: 
Third Scandinavian Conference on Information Systems, SCIS 2012, Sigtuna, Sweden, August 17–20, 2012. 
Proceedings 3, pp.109-130, 2012. 
Li, Qi, and Qi Li. ""Overview of data visualization., Embodying Data: Chinese Aesthetics, Interactive Visualization 
and Gaming Technologies, pp. 17-47,2020. 
Noonpakdee, T. Khunkornsiri, A. Phothichai, and K. Danaisawat, A framework for analyzing and developing 
dashboard templates for small and medium enterprises, 2018 5th International Conference on Industrial 
Engineering and Applications (ICIEA), Singapore, pp. 479-483, doi. 10.1109/IEA.2018.8387148. ,2018. 
S. M. Ali, N. Gupta, G. K. Nayak, and R. K. Lenka, Big data visualization: Tools and challenges, 2016 2nd
International Conference on Contemporary Computing and Informatics (IC3I), Greater Noida, India, pp. 656-
660, doi.10.1109/IC3I.2016.7918044, 2016. 
Sil, A., Betkerur, J., and Das, N. K., P-value demystified. Indian dermatology online journal, vol.10, no.6,  pp.745, 
2019. 
Vilarinho, S., Lopes, I., and Sousa, S., Design procedures to develop dashboards aimed at improving the performance 
of productive equipment and processes, Procedia Manufacturing, vol.11, pp.1634-1641,2017. 
Willson, S., and Miller, K., Data collection, Cognitive interviewing methodology, pp.15-33, 2014. 
Woolson, R. F., Wilcoxon signed‐rank test, Wiley encyclopedia of clinical trials, pp.1-3, 2014. 
Yigitbasioglu, O. M., and Velcu, O., A review of dashboards in performance management: Implications or design and 
research, International Journal of Accounting Information Systems, vol.13, no.1, pp. 41-59, 2014. 
Biographies  
Farah Altarazi is an Industrial and Systems Engineering Ph.D. Student at The State University of New York at 
Binghamton. Farah is a graduate research assistant conducting her work within the Business Program unit at an 
industrial sponsor’s site. Farah earned a B.S. in industrial engineering from the Jordan University of Science and 
Technology, and a Master’s in Industrial Engineering &Management from the University of Jordan. She is a Certified 
Project Manager PMP, and Certified Supply Chain Analyst CSCA, and has six years of a proven track record of 
preparing and implementing project plans and programs in different INGOs & companies. She has worked on different 
research projects with governmental and non-governmental entities such as Jordanian Customs, The Ministries of 
Work and  Social Development in Jordan, and UNDP in a project for Al-Zaa'tari Refugee Camp. Her research interests 
include data analysis, machine learning, simulation, optimization, sustainability, project management, and not-for-
profit operations. She is a member of the Project Management Institute (PMI) and the Jordan Engineers Association. 
Daryl Santos is a State University of New York (SUNY) Distinguished Service Professor at Binghamton University. 
He has received the SUNY Chancellor’s Award for Teaching and the SUNY Chancellor’s Award for Scholarship and 
Creative Activities. Daryl holds a BS degree in Operations Research and Industrial Engineering from Cornell 
University (1987), an MS degree in Industrial Engineering from the University of Houston (1990), and a Ph.D. degree 
in Industrial Engineering from the University of Houston (1993).  He also holds a Lean Six Sigma Blackbelt from 
Dartmouth College’s Thayer School of Engineering.  Daryl is the managing editor of the Industrial and Systems 
Engineering Review (ISER) Journal. 
Albert Tomchesson is the Business Operation Manager at Foxconn Industrial Internet USA (Fii-USA) in Houston, 
Texas.  Albert holds a BS degree in Sociology and Psychology from Sam Houston State University.  He has 19 years 
of business experience in Enterprise server R&D.    
78"
